Feature
SWTP Total Influent Flow
Sequiota 144 Hour Rainfall Aggregate
Sequiota 168 Hour Rainfall Aggregate
Shady 72 Hour Rainfall Aggregate
Shady 96 Hour Rainfall Aggregate
Shady 120 Hour Rainfall Aggregate
Shady 144 Hour Rainfall Aggregate
Shady 168 Hour Rainfall Aggregate
Sherwood 72 Hour Rainfall Aggregate
Sherwood 96 Hour Rainfall Aggregate
Sherwood 120 Hour Rainfall Aggregate
Sherwood 144 Hour Rainfall Aggregate
Sherwood 168 Hour Rainfall Aggregate
Strafford 72 Hour Rainfall Aggregate
Strafford 96 Hour Rainfall Aggregate
Strafford 120 Hour Rainfall Aggregate
Strafford 144 Hour Rainfall Aggregate
Strafford 168 Hour Rainfall Aggregate
Sunshine 72 Hour Rainfall Aggregate
Sunshine 96 Hour Rainfall Aggregate
Sunshine 120 Hour Rainfall Aggregate
Sunshine 144 Hour Rainfall Aggregate
Sunshine 168 Hour Rainfall Aggregate
Valley 72 Hour Rainfall Aggregate
Valley 96 Hour Rainfall Aggregate
Valley 120 Hour Rainfall Aggregate
Valley 144 Hour Rainfall Aggregate
Valley 168 Hour Rainfall Aggregate
Waste 72 Hour Rainfall Aggregate
Waste 96 Hour Rainfall Aggregate
Waste 120 Hour Rainfall Aggregate
Waste 144 Hour Rainfall Aggregate
Waste 168 Hour Rainfall Aggregate
Weller 72 Hour Rainfall Aggregate
Weller 96 Hour Rainfall Aggregate
Weller 120 Hour Rainfall Aggregate
Weller 144 Hour Rainfall Aggregate
Weller 168 Hour Rainfall Aggregate
Westport 72 Hour Rainfall Aggregate
Westport 96 Hour Rainfall Aggregate
Westport 120 Hour Rainfall Aggregate
Westport 144 Hour Rainfall Aggregate
Westport 168 Hour Rainfall Aggregate
Willard 72 Hour Rainfall Aggregate
Willard 96 Hour Rainfall Aggregate
Willard 120 Hour Rainfall Aggregate
Willard 144 Hour Rainfall Aggregate
Willard 168 Hour Rainfall Aggregate
Willard_Intermediate 72 Hour Rainfall Aggregate
Willard_Intermediate 96 Hour Rainfall Aggregate
Willard_Intermediate 120 Hour Rainfall Aggregate
Willard_Intermediate 144 Hour Rainfall Aggregate
Willard_Intermediate 168 Hour Rainfall Aggregate
Williams 72 Hour Rainfall Aggregate
Williams 96 Hour Rainfall Aggregate
Williams 120 Hour Rainfall Aggregate
Williams 144 Hour Rainfall Aggregate
Williams 168 Hour Rainfall Aggregate
HourlyAltimeterSetting
HourlyDewPointTemperature
HourlyDryBulbTemperature
HourlyRelativeHumidity
HourlySeaLevelPressure
HourlyStationPressure
HourlyVisibility
HourlyWetBulbTemperature
HourlyWindSpeed
Ozark Aquifer Depth to Water Level (ft)
Springfield Plateau Aquifer Depth to Water Level (ft)
James Gauge Height (ft)
Wilsons Gauge Height (ft)
